order_id,order_date,customer_id,product,category,region,quantity,unit_price,order_status,ingestion_timestamp,revenue,order_year,order_month,is_completed
1001,2026-01-03,501,Notebook,Tecnologia,Sudeste,1,3500.0,completed,2026-03-26T18:45:00Z,3500.0,2026,1,True
1002,2026-01-03,502,Mouse Gamer,Tecnologia,Sul,2,120.0,completed,2026-03-26T18:45:00Z,240.0,2026,1,True
1003,2026-01-04,503,Cadeira Office,Móveis,Sudeste,1,890.0,pending,2026-03-26T18:45:00Z,890.0,2026,1,False
1004,2026-01-04,504,Monitor 24,Tecnologia,Nordeste,2,950.0,completed,2026-03-26T18:45:00Z,1900.0,2026,1,True
1005,2026-01-05,505,Teclado Mecânico,Tecnologia,Centro-Oeste,1,420.0,cancelled,2026-03-26T18:45:00Z,420.0,2026,1,False
1006,2026-01-05,506,Mesa Escritório,Móveis,Sudeste,1,1100.0,completed,2026-03-26T18:45:00Z,1100.0,2026,1,True
1007,2026-01-06,507,Headset,Tecnologia,Sul,3,210.0,completed,2026-03-26T18:45:00Z,630.0,2026,1,True
1008,2026-01-06,508,Suporte Monitor,Acessórios,Sudeste,2,95.0,pending,2026-03-26T18:45:00Z,190.0,2026,1,False
1009,2026-01-07,509,Webcam,Tecnologia,Norte,2,180.0,completed,2026-03-26T18:45:00Z,360.0,2026,1,True
1010,2026-01-07,510,Luminária,Acessórios,Nordeste,4,75.0,completed,2026-03-26T18:45:00Z,300.0,2026,1,True
